"2022-05-08 12:54:07.510" - "ACCELEROMETER" - "0.7152803,4.2244368,3.627028"
"2022-05-08 12:54:07.511" - "GYROSCOPE" - "1.0529396533966064,-0.560006320476532,-1.472412109375"
"2022-05-08 12:54:07.531" - "MAGNETOMETER" - "9.125,-40.5,-25.875"
"2022-05-08 12:54:07.532" - "ACCELEROMETER" - "0.28502876,4.0022244,2.5810642"
"2022-05-08 12:54:07.533" - "GYROSCOPE" - "0.2491282969713211,-0.558941662311554,-1.3084558248519897"
"2022-05-08 12:54:07.549" - "MAGNETOMETER" - "10.0,-40.5625,-25.4375"
"2022-05-08 12:54:07.552" - "ACCELEROMETER" - "-0.28095287,5.070873,5.268163"
"2022-05-08 12:54:07.553" - "GYROSCOPE" - "-0.23209388554096222,0.19908970594406128,-0.9816080927848816"
"2022-05-08 12:54:07.553" - "LIGHT" - "39.0"
"2022-05-08 12:54:07.569" - "MAGNETOMETER" - "10.9375,-40.25,-25.1875"
"2022-05-08 12:54:07.571" - "ACCELEROMETER" - "0.70762646,5.391742,5.754527"
"2022-05-08 12:54:07.571" - "GYROSCOPE" - "-0.5972691178321838,0.6430491209030151,-0.9390220642089844"
"2022-05-08 12:54:07.589" - "MAGNETOMETER" - "11.75,-40.4375,-24.75"
"2022-05-08 12:54:07.590" - "ACCELEROMETER" - "-0.19672294,4.6215906,5.9055185"
"2022-05-08 12:54:07.591" - "GYROSCOPE" - "-0.26509806513786316,0.3502701222896576,-1.0316466093063354"
"2022-05-08 12:54:07.609" - "MAGNETOMETER" - "12.3125,-40.375,-24.5"
"2022-05-08 12:54:07.611" - "ACCELEROMETER" - "-0.15856127,4.072357,5.2493696"
"2022-05-08 12:54:07.611" - "GYROSCOPE" - "0.1192408949136734,-0.406696617603302,-1.1157541275024414"
"2022-05-08 12:54:07.629" - "MAGNETOMETER" - "12.75,-40.75,-24.1875"
"2022-05-08 12:54:07.631" - "ACCELEROMETER" - "-2.1726174,4.0414276,5.7932787"
"2022-05-08 12:54:07.632" - "GYROSCOPE" - "0.09581857919692993,-0.6696653962135315,-0.9486039280891418"
"2022-05-08 12:54:07.649" - "MAGNETOMETER" - "13.125,-40.9375,-24.125"
"2022-05-08 12:54:07.652" - "ACCELEROMETER" - "-3.2127352,3.5783014,7.149906"
"2022-05-08 12:54:07.652" - "GYROSCOPE" - "-0.05855579674243927,-0.19589576125144958,-0.435442179441452"
"2022-05-08 12:54:07.669" - "MAGNETOMETER" - "13.5,-41.0,-23.8125"
"2022-05-08 12:54:07.672" - "ACCELEROMETER" - "-1.9488419,3.4451761,6.9786263"
"2022-05-08 12:54:07.673" - "GYROSCOPE" - "-0.2661627233028412,0.6803118586540222,0.05855579674243927"
"2022-05-08 12:54:07.673" - "LIGHT" - "41.0"
"2022-05-08 12:54:07.690" - "MAGNETOMETER" - "14.1875,-41.0625,-23.6875"
"2022-05-08 12:54:07.690" - "ACCELEROMETER" - "-1.7672274,3.6007338,6.4182076"
"2022-05-08 12:54:07.691" - "GYROSCOPE" - "-0.6654067635536194,1.6608552932739258,0.35559338331222534"
"2022-05-08 12:54:07.709" - "MAGNETOMETER" - "14.75,-41.375,-23.3125"
"2022-05-08 12:54:07.711" - "ACCELEROMETER" - "-1.1794872,4.6711297,6.512642"
"2022-05-08 12:54:07.711" - "GYROSCOPE" - "-0.11711159348487854,1.5543901920318604,0.36943385004997253"
"2022-05-08 12:54:07.730" - "MAGNETOMETER" - "14.625,-41.625,-23.125"
"2022-05-08 12:54:07.732" - "ACCELEROMETER" - "-1.6265554,4.308054,5.7592926"
"2022-05-08 12:54:07.733" - "GYROSCOPE" - "0.0841074138879776,-0.20973621308803558,0.140533909201622"
"2022-05-08 12:54:07.750" - "MAGNETOMETER" - "14.75,-41.75,-23.1875"
"2022-05-08 12:54:07.750" - "ACCELEROMETER" - "-0.4626824,3.6489167,6.0614977"
"2022-05-08 12:54:07.751" - "GYROSCOPE" - "-0.1682148277759552,0.18311993777751923,0.32791244983673096"
"2022-05-08 12:54:07.770" - "MAGNETOMETER" - "14.875,-41.6875,-23.3125"
"2022-05-08 12:54:07.774" - "ACCELEROMETER" - "-0.047240473,4.4372644,5.893107"
"2022-05-08 12:54:07.775" - "GYROSCOPE" - "-0.40456733107566833,0.22144737839698792,0.31407198309898376"
"2022-05-08 12:54:07.790" - "MAGNETOMETER" - "14.9375,-41.75,-23.6875"
"2022-05-08 12:54:07.792" - "ACCELEROMETER" - "-0.18618079,4.00997,6.6910696"
"2022-05-08 12:54:07.793" - "GYROSCOPE" - "-0.39498546719551086,0.15969762206077576,0.34175291657447815"
"2022-05-08 12:54:07.793" - "LIGHT" - "30.0"
"2022-05-08 12:54:07.809" - "MAGNETOMETER" - "14.8125,-41.8125,-23.8125"
"2022-05-08 12:54:07.812" - "ACCELEROMETER" - "0.2537777,4.665292,6.4618244"
"2022-05-08 12:54:07.814" - "GYROSCOPE" - "-0.09794788062572479,0.09049531817436218,0.1714087873697281"
"2022-05-08 12:54:07.831" - "MAGNETOMETER" - "14.75,-41.625,-23.875"
"2022-05-08 12:54:07.833" - "ACCELEROMETER" - "0.036253963,4.5651026,5.43031"
"2022-05-08 12:54:07.833" - "GYROSCOPE" - "-0.11285299062728882,-0.3268478214740753,0.038327429443597794"
"2022-05-08 12:54:07.849" - "MAGNETOMETER" - "14.5625,-41.625,-23.9375"
"2022-05-08 12:54:07.851" - "ACCELEROMETER" - "-0.3671288,4.2753625,6.2003546"
"2022-05-08 12:54:07.853" - "GYROSCOPE" - "-0.2001543641090393,-0.35239943861961365,0.03406882658600807"
"2022-05-08 12:54:07.869" - "MAGNETOMETER" - "14.4375,-41.3125,-24.1875"
"2022-05-08 12:54:07.871" - "ACCELEROMETER" - "-0.50329566,4.460233,5.809368"
"2022-05-08 12:54:07.872" - "GYROSCOPE" - "-0.20121900737285614,-0.21931807696819305,0.06920230388641357"
"2022-05-08 12:54:07.889" - "MAGNETOMETER" - "14.5,-40.9375,-24.375"
"2022-05-08 12:54:07.890" - "ACCELEROMETER" - "-0.40305334,4.6394343,5.713278"
"2022-05-08 12:54:07.891" - "GYROSCOPE" - "-0.42905429005622864,-0.06068509817123413,0.06281439960002899"
"2022-05-08 12:54:07.909" - "MAGNETOMETER" - "14.75,-40.625,-24.6875"
"2022-05-08 12:54:07.911" - "ACCELEROMETER" - "-0.6059437,4.584272,6.1706047"
"2022-05-08 12:54:07.912" - "GYROSCOPE" - "-0.6419844627380371,0.29916688799858093,0.03726277872920036"
"2022-05-08 12:54:07.913" - "LIGHT" - "28.0"
"2022-05-08 12:54:07.930" - "MAGNETOMETER" - "15.0,-40.0625,-24.9375"
"2022-05-08 12:54:07.932" - "ACCELEROMETER" - "-0.98235047,4.3282037,6.7085686"
"2022-05-08 12:54:07.933" - "GYROSCOPE" - "-0.6089802980422974,0.36623987555503845,0.070266954600811"
"2022-05-08 12:54:07.950" - "MAGNETOMETER" - "14.875,-40.0625,-25.125"
"2022-05-08 12:54:07.952" - "ACCELEROMETER" - "-0.67142606,4.467151,6.90569"
"2022-05-08 12:54:07.952" - "GYROSCOPE" - "-0.38008034229278564,0.11285299062728882,0.140533909201622"
"2022-05-08 12:54:07.970" - "MAGNETOMETER" - "14.5625,-40.0625,-25.1875"
"2022-05-08 12:54:07.971" - "ACCELEROMETER" - "-0.17434385,4.532496,7.1065044"
"2022-05-08 12:54:07.971" - "GYROSCOPE" - "-0.19057250022888184,-0.045779984444379807,0.07984881103038788"
"2022-05-08 12:54:07.990" - "MAGNETOMETER" - "14.6875,-39.9375,-25.0625"
"2022-05-08 12:54:07.991" - "ACCELEROMETER" - "-0.4273401,4.4056067,7.131526"
"2022-05-08 12:54:07.991" - "GYROSCOPE" - "-0.038327429443597794,-0.005323254037648439,0.041521381586790085"
"2022-05-08 12:54:08.010" - "MAGNETOMETER" - "14.625,-40.0,-25.125"
"2022-05-08 12:54:08.011" - "ACCELEROMETER" - "-0.2271925,4.390292,7.0851593"
"2022-05-08 12:54:08.012" - "GYROSCOPE" - "0.11391764134168625,0.0074525559321045876,0.01171115878969431"
