"2022-05-07 15:09:04.175" - "TYPE_PROXIMITY" - "5.0"
"2022-05-07 15:09:05.475" - "MAGNETOMETER" - "-10.9375,7.3125,-41.0"
"2022-05-07 15:09:05.477" - "ACCELEROMETER" - "-1.5813761,0.9048934,7.628195"
"2022-05-07 15:09:05.478" - "GYROSCOPE" - "-0.6206914186477661,0.9454099535942078,-0.42905429005622864"
"2022-05-07 15:09:05.478" - "LIGHT" - "28.0"
"2022-05-07 15:09:05.494" - "MAGNETOMETER" - "-10.125,7.75,-41.0"
"2022-05-07 15:09:05.496" - "ACCELEROMETER" - "-1.0176699,0.6936673,6.879197"
"2022-05-07 15:09:05.496" - "GYROSCOPE" - "-0.7633546590805054,1.0870084762573242,-0.038327429443597794"
"2022-05-07 15:09:05.514" - "MAGNETOMETER" - "-9.8125,7.875,-40.875"
"2022-05-07 15:09:05.516" - "ACCELEROMETER" - "-0.7084385,0.55291116,6.5355425"
"2022-05-07 15:09:05.517" - "GYROSCOPE" - "-0.4865454435348511,0.26190412044525146,-0.17353808879852295"
"2022-05-07 15:09:05.534" - "MAGNETOMETER" - "-10.5,7.6875,-40.625"
"2022-05-07 15:09:05.536" - "ACCELEROMETER" - "-2.3561168,0.32358116,6.6603165"
"2022-05-07 15:09:05.537" - "GYROSCOPE" - "0.004258603323251009,-1.2254130840301514,-0.24806363880634308"
"2022-05-07 15:09:05.555" - "MAGNETOMETER" - "-11.9375,7.1875,-40.375"
"2022-05-07 15:09:05.556" - "ACCELEROMETER" - "-3.1340904,0.25986856,8.237708"
"2022-05-07 15:09:05.556" - "GYROSCOPE" - "0.4003087282180786,-2.291128635406494,-0.11072368919849396"
"2022-05-07 15:09:05.588" - "MAGNETOMETER" - "-12.75,6.3125,-39.9375"
"2022-05-07 15:09:05.589" - "ACCELEROMETER" - "-2.6494963,-0.13276519,10.18436"
"2022-05-07 15:09:05.589" - "GYROSCOPE" - "0.913470447063446,-1.5501316785812378,0.2384817898273468"
"2022-05-07 15:09:05.602" - "MAGNETOMETER" - "-13.4375,5.1875,-39.8125"
"2022-05-07 15:09:05.603" - "ACCELEROMETER" - "-1.238557,0.5505821,9.164905"
"2022-05-07 15:09:05.603" - "GYROSCOPE" - "1.2626758813858032,-0.8815308809280396,0.3854036033153534"
"2022-05-07 15:09:05.603" - "LIGHT" - "28.0"
"2022-05-07 15:09:05.614" - "MAGNETOMETER" - "-13.9375,4.1875,-39.5625"
"2022-05-07 15:09:05.616" - "ACCELEROMETER" - "-0.6278784,0.9361214,6.705902"
"2022-05-07 15:09:05.616" - "GYROSCOPE" - "1.006095051765442,-0.812328577041626,0.3481408357620239"
"2022-05-07 15:09:05.634" - "MAGNETOMETER" - "-14.3125,3.4375,-39.4375"
"2022-05-07 15:09:05.636" - "ACCELEROMETER" - "-0.4433602,1.2634566,6.3283005"
"2022-05-07 15:09:05.636" - "GYROSCOPE" - "0.5695881843566895,-0.7047988772392273,0.2768092155456543"
"2022-05-07 15:09:05.654" - "MAGNETOMETER" - "-14.625,3.3125,-39.375"
"2022-05-07 15:09:05.656" - "ACCELEROMETER" - "-0.29187807,1.5139554,6.5651693"
"2022-05-07 15:09:05.656" - "GYROSCOPE" - "0.1650208830833435,-0.7495141625404358,0.1682148277759552"
"2022-05-07 15:09:05.674" - "MAGNETOMETER" - "-14.875,3.375,-39.0625"
"2022-05-07 15:09:05.677" - "ACCELEROMETER" - "-0.08452106,1.5439116,7.3175464"
"2022-05-07 15:09:05.678" - "GYROSCOPE" - "-0.20441296696662903,-0.637725830078125,0.11711159348487854"
