;UT;precision;pressure;duration;acceleration;rotation;magneticField
127;UT1;55.67441547552069;0.09411766;79000;7.417717947375397;0.19948783439761134;40.91215818677866
128;UT1;81.49973662138794;0.1764706;61000;7.056828673298347;0.2792938592216611;39.8458455331293
129;UT1;71.03766881092034;0.07058824;76000;7.587211366496841;0.030948211666558426;40.80733121940223
130;UT1;45.09195053325592;0.14117648;87000;6.6889266994047;0.1681204684807561;40.52126178008281
131;UT1;45.389467938829114;0.0627451;93000;6.8187320826664335;0.6342719541003541;40.83450784875459
132;UT1;58.824153638875245;0.1764706;64000;7.070619523240375;0.26310018527508655;39.90354581675668
133;UT1;8.343859424750615;0.058823533;95000;6.981889350800136;0.37340115093683013;41.0918369326561
134;UT1;73.05404164041845;0.20000002;78000;7.116298947408404;0.13731519672400574;40.19104766611589
135;UT1;28.35392706293076;0.09411766;86000;7.601975456504335;0.29827139409678943;41.893093106143404
136;UT1;76.28615385776108;0.16862746;62000;7.6067684213683435;0.377554979678802;42.346413661607755
137;UT1;60.73380412760261;0.1764706;54000;7.896452454303913;0.39399131482760086;41.94499746692089
138;UT1;26.88971621735709;0.10980393;56000;8.114868367059135;0.6530233332564722;42.554927740509676
139;UT1;19.436476179001666;0.15294118;66000;7.957928313428875;0.5853730757459968;42.62247976420424
140;UT1;49.66415703472672;0.078431375;55000;7.963107438959158;0.33746074300762924;42.4840962890821
141;UT1;76.70346223378706;0.16862746;54000;7.935696618618781;0.4299304713815533;42.81341239903682
142;UT1;43.60923670336357;0.0627451;61000;8.023375445047114;0.333249325825377;43.19676998920174
143;UT1;49.39586087327156;0.14509805;33000;8.485919177102517;0.22874884300853165;42.82600152068834
144;UT1;69.49315411614299;0.054901965;45000;7.68922832067691;0.1709585241190249;42.48975060235115
145;UT1;96.23971746154962;0.18823531;47000;8.674393885392309;0.5819015764464031;43.18754522428891
146;UT1;108.9542548012697;0.054901965;61000;7.790274127095621;0.28534429515628773;42.861103797615854
147;UT1;115.72957824744543;0.16862746;36000;8.114693382779505;0.35724390352219193;42.74904055940905
148;UT1;25.894577569539514;0.058823533;62000;7.733018590801968;0.08334930828006389;42.84373860320782
149;UT1;104.17920826635992;0.17254902;53000;8.293280906954973;0.2227258788682894;42.74990862563334
150;UT1;32.84054696651071;0.121568635;50000;7.95675122645013;0.3672119371051203;40.00673771379016
151;UT1;62.90600940045395;0.18431373;57000;7.480269902707011;0.22948351096547653;39.794393449329014
152;UT1;9.306086992931055;0.16078432;42000;7.761950268485288;0.5990219858846203;39.60789260046538
153;UT1;63.16668963433181;0.14901961;56000;7.104057080184276;0.22266733856645807;40.24068215127571
154;UT1;70.5542170400494;0.17254902;54000;7.349078185874264;0.4970414563878126;39.468787113996804
155;UT1;31.109614269104917;0.09019608;64000;7.17080583423446;0.1898962335375673;39.85574574324259
156;UT1;65.8938861884204;0.17254902;61000;6.944771126546317;0.6798068696852281;40.43020606551493
157;UT1;24.954738440336413;0.054901965;20000;8.000322901556382;0.21859850963410413;39.327699764288276
158;UT1;104.40642293816074;0.1764706;44000;7.5211250771210345;0.28828259819092517;40.159642366435484
159;UT1;30.65852322499574;0.08627451;63000;7.409634015696265;0.1169081661090258;39.41510854038081
