;UT;centerDistanceXf0;avgXSpeedf0;avgYSpeedf0;avgPressuref0;xMedianSpeedOfLast5Pointsf0;yMedianSpeedOfLast5Pointsf0;durationf0;avgAccelerationf0;avgRotationf0;avgMagneticFieldf0;centerDistanceXf1;avgXSpeedf1;avgYSpeedf1;avgPressuref1;xMedianSpeedOfLast5Pointsf1;yMedianSpeedOfLast5Pointsf1;durationf1;avgAccelerationf1;avgRotationf1;avgMagneticFieldf1
32;UT1;406.0523237255021;0.12350047058563769;0.008683084492594194;0.09154062227142859;0.0040261245032;-0.0178402887512;592000;7.7042809397552965;0.09597034439065791;39.87291185200904;422.8497857184393;0.13526609321188893;0.011490987369984119;0.0955882415625;0.012119677762;0.0136669602808;517000;7.718443966311261;0.07286926523242296;39.834342047777454
33;UT1;408.5705008841774;0.08299810458405399;0.00018533364538027904;0.09758109426168224;2.9058560400000004e-05;0.0048432636;188000;7.694363221599388;0.07034627126777995;39.790561267566474;286.02066466863005;0.08708887159913055;0.0008113396716551654;0.1001153461519608;4.60025364e-05;0.00718627546;148000;7.709851695687143;0.05977026777878957;39.77078769419967
34;UT1;399.89942237621756;0.09911386155139809;0.004022134788570065;0.09640834739365078;0.009352212184000001;0.030225463300599997;864000;7.701422134696474;0.06833901840954702;39.86747434376136;508.40971981453356;0.1031732829746146;0.004611851229325579;0.09845475255629138;0.005557231980000002;0.0331876187238;816000;7.717295164776083;0.059309423177137686;39.85685813976527
35;UT1;331.92714926831894;0.09324878549095338;-0.000304051283590674;0.09473578205684753;-0.19678057059999998;-0.125831918;622000;7.705330820550026;0.06556506285345683;39.89250012944085;487.2108186857282;0.0998094260228692;0.0019183510139782025;0.09687767094836956;-0.0599700914;0.005032135600000004;525000;7.720149273206689;0.05738892335895356;39.87780517740857
36;UT1;359.9396073406387;0.01650511945608334;0.017447682967142848;0.11344868018823528;-0.40642807599999997;-0.283061448;765000;7.803503334017865;0.13286294473863433;41.97989639163675;436.1407347410007;0.038518196376468375;0.033372912203037966;0.1154902029;-0.05091788799999999;-0.059802345300000004;677000;7.829959906089325;0.12157278533286145;41.97056462237637
37;UT1;443.1131822803064;0.0523822691216387;0.008589921452387093;0.11354952896153844;-0.252141886;-0.1230838752;591000;7.790875455794524;0.13314796868019566;41.82766959146104;463.4627773725307;0.07480913634887075;0.020177771019863944;0.11483837448648647;-0.06999789479999999;-0.06964100520000001;554000;7.814304659120653;0.11655752804895021;41.812603129781294
38;UT1;408.1617604212948;0.07052419463985572;0.01935505213410959;0.11010695753181818;0.05282627922340001;-0.0233769532;545000;7.778150318616719;0.12917809114427034;41.73458708969239;504.3586256430636;0.08766741605530337;0.028102636039090908;0.11112979096666667;0.052855712317399994;-0.0319220552;509000;7.8017845877810865;0.1148331786705801;41.72056199114797
39;UT1;341.77937879083635;0.0820326332351315;0.03758605393514469;0.11084716490705127;-0.064055478;-0.0013666267999999982;796000;7.761990212798416;0.11930254101341463;41.5624141435872;587.3739542941895;0.09558868776281448;0.04486180905262625;0.11184366916778521;-0.12190143760000001;-0.010372032599999999;731000;7.781816447090005;0.10503609448011;41.55366365949141
40;UT1;310.22663908060827;0.01995933259880072;0.044021384885644936;0.1284807521798561;-0.064780635941;-0.035701792342;206000;7.64069031876281;0.07450476725711654;39.038961701052024;407.5353168332685;0.0251428762212559;0.05446084596318898;0.12616422296875;0.038031089955200006;0.037476700858;64000;7.6524168704582705;0.06633587717925932;39.076367331105764
41;UT1;375.6740613751256;0.06027676299159954;0.027973714418328702;0.12100841100921658;0.049090183115;0.0340550785656;662000;7.650270734972462;0.07498146021710125;39.10830849113378;372.86547685343567;0.06727091576175373;0.0342481169585174;0.12040381279702972;0.0798741431902;0.040327857934;614000;7.670560272300909;0.06706960916505945;39.134297329981806
