;UT;precision;avgXSpeed;avgYSpeed;avgPressure;xMedianSpeedOfLast5Points;yMedianSpeedOfLast5Points;duration;avgAcceleration;avgRotation;avgMagneticField
30;UT1;138.4190177419355;0.7990135383470655;0.21434148714934426;0.1454775519354838;0.0842407472;0.01814048584;22000;7.734116334801094;0.5446752524296161;45.63772878826407
31;UT1;42.353491836734705;1.0522419086884522;0.08099147921025;0.13893558073469386;0.09100041340000001;0.0439301536;791000;7.670685178206921;0.43003943165787273;45.42979514778093
32;UT1;104.98370357142856;0.8993158978141527;0.18767091877162673;0.15980392839285715;0.1365393108;0.1163922614;925000;7.706357923663565;0.5215568779693377;39.42006756428759
33;UT1;147.39497083333333;0.719697841827831;0.21341005235287325;0.15305011462499998;0.22351801799999998;0.172568586;190000;7.721711182018319;0.5182575762247841;39.800052040390995
34;UT1;150.02028227848106;0.6543611204549128;0.18982054336851278;0.13859519169620257;0.080842971;0.0867371933;319000;7.740612322178313;0.45131195884319897;39.63098891502604
35;UT1;84.06628860759493;0.6503447501199077;0.09514218300312823;0.17329363144303797;0.018841808600000003;0.04607416482;313000;7.709625390794933;0.4007637806246595;39.45868347144086
36;UT1;97.1700482142857;0.8855357880738547;0.21666180963527273;0.12528011883928572;-0.0131884092;0.014878621539999998;930000;7.78720984465095;0.3252169154440523;43.69914136026681
37;UT1;43.84253653846155;0.9714305038281568;0.10463150280611765;0.15286576784615385;-0.0476000684;0.0019489744000000017;853000;7.7695484234307255;0.27615091645838463;43.62701758109901
38;UT1;45.24613921568629;1.037022312434234;0.09581611147931998;0.12302961088235295;0.0122350832;0.043798549;827000;7.785966258774726;0.35421717913196915;43.93144340400966
39;UT1;24.510500000000015;0.9004831672542407;-0.025193289613611114;0.1604991148181818;0.026803478;0.016487527999999998;899000;7.794191367055623;0.19551481765282236;43.569830407672406
40;UT1;158.56927377049186;0.8597588966772333;0.21607630977233333;0.14773385426229513;0.020731486952;0.0109112662212;3000;7.686773394743198;0.3879004686001188;41.191384787460294
41;UT1;80.48245400000002;1.0109507650419594;0.1660684909810204;0.14643137884;0.0593848786;0.0265118324;808000;7.669687702744109;0.3316268848977833;41.90814595674479
42;UT1;85.09140377358489;1.0150862739166155;0.22407892442069233;0.1508694104150943;0.050296197919999994;0.02119081046;873000;7.696857149953206;0.43534607344023674;42.021861119831684
43;UT1;78.26637183098592;0.7396071066020501;0.11252709149528571;0.17348799605633805;0.0029974167999999982;0.008084320114000001;171000;7.653315118225155;0.30155804038349393;41.634691808427995
44;UT1;72.28317656249999;0.7973083373450953;0.0715080666708889;0.177205891453125;-0.0044844271726;8.76641716e-05;60000;7.726491270221254;0.29380689253508174;39.377496081381565
45;UT1;59.964122058823534;0.7508082354279492;0.05753640112086119;0.13039216282352942;0.025689219372;0.0405724735282;127000;7.744487377599104;0.34906635760850546;40.00369773133825
